,ReportedOrigin,Population,Neighbourhood#
165,Hong_Kong,0,85
166,India,15,85
167,Iran,0,85
168,Iraq,15,85
169,Japan,0,85
170,Korea_South,0,85
171,Lebanon,0,85
172,Pakistan,0,85
173,Philippines,0,85
174,Sri_Lanka,10,85
175,Syria,0,85
176,Taiwan,0,85
177,Viet_Nam,10,85
178,Other_places_of_birth_in_Asia,20,85
179,Oceania_and_other_places_of_birth,10,85
180,Total_Immigrant_Population,2855,85
181,Americas,445,85
182,Brazil,15,85
183,Colombia,0,85
184,El_Salvador,20,85
185,Guyana,70,85
186,Haiti,0,85
187,Jamaica,65,85
188,Mexico,10,85
189,Peru,10,85
190,Trinidad_and_Tobago,55,85
191,United_States,55,85
192,Other_places_of_birth_in_Americas,150,85
193,Europe,525,85
194,Bosnia_and_Herzegovina,10,85
195,Croatia,20,85
196,France,0,85
197,Germany,0,85
198,Greece,0,85
199,Hungary,45,85
200,Ireland,15,85
201,Italy,15,85
202,Netherlands,0,85
203,Poland,150,85
204,Portugal,10,85
205,Romania,10,85
206,Russian_Federation,10,85
207,Serbia,35,85
208,Ukraine,20,85
209,United_Kingdom,70,85
210,Other_places_of_birth_in_Europe,120,85
211,Africa,175,85
212,Algeria,10,85
213,Egypt,0,85
214,Ethiopia,70,85
215,Kenya,10,85
216,Morocco,0,85
217,Nigeria,0,85
218,Somalia,10,85
219,South_Africa_Republic_of,25,85
220,Other_places_of_birth_in_Africa,65,85
221,Asia,1705,85
222,Afghanistan,40,85
223,Bangladesh,45,85
224,China,260,85
225,Hong_Kong,10,85
226,India,485,85
227,Iran,25,85
228,Iraq,10,85
229,Japan,0,85
230,Korea_South,10,85
231,Lebanon,0,85
232,Pakistan,45,85
233,Philippines,285,85
234,Sri_Lanka,35,85
235,Syria,10,85
236,Taiwan,10,85
237,Viet_Nam,70,85
238,Other_places_of_birth_in_Asia,375,85
239,Oceania_and_other_places_of_birth,10,85
240,Total_Immigrant_Population,2390,85
241,Americas,500,85
242,Brazil,25,85
243,Colombia,15,85
244,El_Salvador,10,85
245,Guyana,45,85
246,Haiti,0,85
247,Jamaica,95,85
248,Mexico,20,85
249,Peru,30,85
250,Trinidad_and_Tobago,55,85
251,United_States,60,85
252,Other_places_of_birth_in_Americas,145,85
253,Europe,525,85
254,Bosnia_and_Herzegovina,0,85
255,Croatia,20,85
256,France,25,85
257,Germany,25,85
258,Greece,10,85
259,Hungary,10,85
260,Ireland,15,85
261,Italy,15,85
262,Netherlands,0,85
263,Poland,185,85
264,Portugal,40,85
265,Romania,10,85
266,Russian_Federation,0,85
267,Serbia,25,85
268,Ukraine,10,85
269,United_Kingdom,70,85
270,Other_places_of_birth_in_Europe,50,85
271,Africa,220,85
272,Algeria,0,85
273,Egypt,10,85
274,Ethiopia,105,85
275,Kenya,0,85
276,Morocco,0,85
277,Nigeria,0,85
278,Somalia,0,85
279,South_Africa_Republic_of,10,85
280,Other_places_of_birth_in_Africa,90,85
281,Asia,1135,85
282,Afghanistan,0,85
283,Bangladesh,10,85
284,China,100,85
285,Hong_Kong,35,85
286,India,210,85
287,Iran,20,85
288,Iraq,10,85
289,Japan,25,85
290,Korea_South,25,85
291,Lebanon,10,85
292,Pakistan,15,85
293,Philippines,310,85
294,Sri_Lanka,110,85
295,Syria,10,85
296,Taiwan,0,85
297,Viet_Nam,145,85
298,Other_places_of_birth_in_Asia,105,85
299,Oceania_and_other_places_of_birth,10,85
300,Total_Immigrant_Population,1390,85
301,Americas,235,85
302,Brazil,0,85
303,Colombia,10,85
304,El_Salvador,10,85
305,Guyana,65,85
306,Haiti,0,85
307,Jamaica,30,85
308,Mexico,15,85
309,Peru,0,85
310,Trinidad_and_Tobago,55,85
311,United_States,30,85
312,Other_places_of_birth_in_Americas,30,85
313,Europe,190,85
314,Bosnia_and_Herzegovina,0,85
315,Croatia,0,85
316,France,0,85
317,Germany,15,85
318,Greece,0,85
319,Hungary,0,85
320,Ireland,15,85
321,Italy,0,85
322,Netherlands,0,85
323,Poland,50,85
324,Portugal,10,85
325,Romania,10,85
326,Russian_Federation,10,85
327,Serbia,0,85
328,Ukraine,10,85
329,United_Kingdom,30,85
330,Other_places_of_birth_in_Europe,35,85
331,Africa,205,85
332,Algeria,0,85
333,Egypt,0,85
334,Ethiopia,110,85
335,Kenya,0,85
336,Morocco,10,85
337,Nigeria,0,85
338,Somalia,0,85
339,South_Africa_Republic_of,0,85
340,Other_places_of_birth_in_Africa,75,85
341,Asia,735,85
342,Afghanistan,0,85
343,Bangladesh,10,85
344,China,100,85
345,Hong_Kong,0,85
346,India,240,85
347,Iran,0,85
348,Iraq,0,85
349,Japan,15,85
350,Korea_South,10,85
351,Lebanon,0,85
352,Pakistan,0,85
353,Philippines,225,85
354,Sri_Lanka,0,85
355,Syria,0,85
356,Taiwan,0,85
357,Viet_Nam,40,85
358,Other_places_of_birth_in_Asia,80,85
359,Oceania_and_other_places_of_birth,25,85
360,Total_Immigrant_Population,2105,85
361,Americas,395,85
362,Brazil,20,85
363,Colombia,20,85
364,El_Salvador,0,85
365,Guyana,40,85
366,Haiti,0,85
367,Jamaica,40,85
368,Mexico,10,85
369,Peru,0,85
370,Trinidad_and_Tobago,65,85
371,United_States,35,85
372,Other_places_of_birth_in_Americas,155,85
373,Europe,520,85
374,Bosnia_and_Herzegovina,0,85
375,Croatia,20,85
376,France,10,85
377,Germany,10,85
378,Greece,0,85
379,Hungary,70,85
380,Ireland,10,85
381,Italy,10,85
382,Netherlands,0,85
383,Poland,120,85
384,Portugal,75,85
385,Romania,0,85
386,Russian_Federation,15,85
387,Serbia,10,85
388,Ukraine,25,85
389,United_Kingdom,70,85
390,Other_places_of_birth_in_Europe,70,85
391,Africa,120,85
392,Algeria,0,85
393,Egypt,10,85
394,Ethiopia,30,85
395,Kenya,0,85
396,Morocco,0,85
397,Nigeria,0,85
398,Somalia,0,85
399,South_Africa_Republic_of,0,85
400,Other_places_of_birth_in_Africa,75,85
401,Asia,1065,85
402,Afghanistan,15,85
403,Bangladesh,10,85
404,China,85,85
405,Hong_Kong,15,85
406,India,180,85
407,Iran,20,85
408,Iraq,0,85
409,Japan,10,85
410,Korea_South,10,85
411,Lebanon,0,85
412,Pakistan,40,85
413,Philippines,335,85
414,Sri_Lanka,70,85
415,Syria,0,85
416,Taiwan,10,85
417,Viet_Nam,150,85
418,Other_places_of_birth_in_Asia,125,85
419,Oceania_and_other_places_of_birth,0,85
420,Total_Immigrant_Population,1950,82
421,Americas,325,82
422,Brazil,25,82
423,Colombia,35,82
424,El_Salvador,0,82
425,Guyana,25,82
426,Haiti,0,82
427,Jamaica,25,82
428,Mexico,35,82
429,Peru,10,82
430,Trinidad_and_Tobago,15,82
431,United_States,65,82
432,Other_places_of_birth_in_Americas,95,82
433,Europe,565,82
434,Bosnia_and_Herzegovina,20,82
435,Croatia,0,82
436,France,35,82
437,Germany,10,82
438,Greece,0,82
439,Hungary,0,82
440,Ireland,25,82
441,Italy,30,82
442,Netherlands,15,82
443,Poland,60,82
444,Portugal,35,82
445,Romania,30,82
446,Russian_Federation,40,82
447,Serbia,20,82
448,Ukraine,25,82
449,United_Kingdom,130,82
450,Other_places_of_birth_in_Europe,90,82
451,Africa,135,82
452,Algeria,0,82
453,Egypt,25,82
454,Ethiopia,10,82
455,Kenya,10,82
456,Morocco,10,82
457,Nigeria,25,82
458,Somalia,0,82
459,South_Africa_Republic_of,35,82
460,Other_places_of_birth_in_Africa,25,82
461,Asia,915,82
462,Afghanistan,0,82
463,Bangladesh,10,82
464,China,155,82
465,Hong_Kong,105,82
466,India,125,82
467,Iran,80,82
468,Iraq,15,82
469,Japan,15,82
470,Korea_South,75,82
471,Lebanon,0,82
472,Pakistan,15,82
473,Philippines,115,82
474,Sri_Lanka,20,82
475,Syria,10,82
476,Taiwan,0,82
477,Viet_Nam,30,82
478,Other_places_of_birth_in_Asia,115,82
479,Oceania_and_other_places_of_birth,10,82
480,Total_Immigrant_Population,3475,82
481,Americas,650,82
482,Brazil,20,82
483,Colombia,85,82
484,El_Salvador,40,82
485,Guyana,20,82
486,Haiti,0,82
487,Jamaica,105,82
488,Mexico,50,82
489,Peru,10,82
490,Trinidad_and_Tobago,60,82
491,United_States,90,82
492,Other_places_of_birth_in_Americas,160,82
493,Europe,840,82
494,Bosnia_and_Herzegovina,15,82
495,Croatia,20,82
496,France,15,82
497,Germany,35,82
498,Greece,0,82
499,Hungary,0,82
500,Ireland,35,82
501,Italy,25,82
502,Netherlands,0,82
503,Poland,105,82
504,Portugal,30,82
505,Romania,45,82
506,Russian_Federation,115,82
507,Serbia,25,82
508,Ukraine,45,82
509,United_Kingdom,205,82
510,Other_places_of_birth_in_Europe,125,82
511,Africa,275,82
512,Algeria,0,82
513,Egypt,50,82
514,Ethiopia,50,82
515,Kenya,45,82
516,Morocco,10,82
517,Nigeria,30,82
518,Somalia,10,82
519,South_Africa_Republic_of,20,82
520,Other_places_of_birth_in_Africa,55,82
521,Asia,1685,82
522,Afghanistan,10,82
523,Bangladesh,0,82
524,China,350,82
525,Hong_Kong,115,82
526,India,260,82
527,Iran,170,82
528,Iraq,25,82
529,Japan,10,82
530,Korea_South,65,82
531,Lebanon,35,82
532,Pakistan,55,82
533,Philippines,180,82
534,Sri_Lanka,75,82
535,Syria,15,82
536,Taiwan,25,82
537,Viet_Nam,85,82
538,Other_places_of_birth_in_Asia,215,82
539,Oceania_and_other_places_of_birth,20,82
540,Total_Immigrant_Population,90,82
541,Americas,40,82
542,Brazil,0,82
543,Colombia,0,82
544,El_Salvador,0,82
545,Guyana,0,82
546,Haiti,0,82
547,Jamaica,0,82
548,Mexico,0,82
549,Peru,0,82
550,Trinidad_and_Tobago,10,82
551,United_States,0,82
552,Other_places_of_birth_in_Americas,20,82
553,Europe,30,82
554,Bosnia_and_Herzegovina,0,82
555,Croatia,0,82
556,France,0,82
557,Germany,0,82
558,Greece,10,82
559,Hungary,0,82
560,Ireland,0,82
561,Italy,0,82
562,Netherlands,0,82
563,Poland,0,82
564,Portugal,20,82
565,Romania,0,82
566,Russian_Federation,0,82
567,Serbia,0,82
568,Ukraine,0,82
569,United_Kingdom,10,82
570,Other_places_of_birth_in_Europe,0,82
571,Africa,0,82
572,Algeria,0,82
573,Egypt,0,82
574,Ethiopia,0,82
575,Kenya,0,82
576,Morocco,0,82
577,Nigeria,0,82
578,Somalia,0,82
579,South_Africa_Republic_of,0,82
580,Other_places_of_birth_in_Africa,0,82
581,Asia,15,82
582,Afghanistan,0,82
583,Bangladesh,0,82
584,China,0,82
585,Hong_Kong,0,82
586,India,0,82
587,Iran,0,82
588,Iraq,0,82
589,Japan,0,82
590,Korea_South,0,82
591,Lebanon,0,82
592,Pakistan,0,82
593,Philippines,10,82
594,Sri_Lanka,0,82
595,Syria,0,82
596,Taiwan,0,82
597,Viet_Nam,0,82
598,Other_places_of_birth_in_Asia,0,82
599,Oceania_and_other_places_of_birth,0,82
600,Total_Immigrant_Population,1315,82
601,Americas,290,82
602,Brazil,20,82
603,Colombia,35,82
604,El_Salvador,0,82
605,Guyana,15,82
606,Haiti,0,82
607,Jamaica,35,82
608,Mexico,15,82
609,Peru,10,82
610,Trinidad_and_Tobago,35,82
611,United_States,50,82
612,Other_places_of_birth_in_Americas,85,82
613,Europe,480,82
614,Bosnia_and_Herzegovina,15,82
615,Croatia,0,82
616,France,0,82
617,Germany,20,82
618,Greece,0,82
619,Hungary,0,82
620,Ireland,0,82
621,Italy,15,82
622,Netherlands,0,82
623,Poland,50,82
624,Portugal,110,82
625,Romania,15,82
626,Russian_Federation,20,82
627,Serbia,0,82
628,Ukraine,10,82
629,United_Kingdom,115,82
630,Other_places_of_birth_in_Europe,95,82
631,Africa,115,82
632,Algeria,0,82
633,Egypt,10,82
634,Ethiopia,25,82
635,Kenya,10,82
636,Morocco,0,82
637,Nigeria,0,82
638,Somalia,0,82
639,South_Africa_Republic_of,10,82
640,Other_places_of_birth_in_Africa,60,82
641,Asia,415,82
642,Afghanistan,0,82
643,Bangladesh,10,82
644,China,45,82
645,Hong_Kong,30,82
646,India,30,82
647,Iran,15,82
648,Iraq,15,82
649,Japan,10,82
650,Korea_South,35,82
651,Lebanon,0,82
652,Pakistan,10,82
653,Philippines,85,82
654,Sri_Lanka,0,82
655,Syria,0,82
656,Taiwan,0,82
657,Viet_Nam,15,82
658,Other_places_of_birth_in_Asia,95,82
659,Oceania_and_other_places_of_birth,10,82
660,Total_Immigrant_Population,2165,82
661,Americas,375,82
662,Brazil,25,82
663,Colombia,10,82
664,El_Salvador,20,82
665,Guyana,25,82
666,Haiti,0,82
667,Jamaica,20,82
668,Mexico,20,82
669,Peru,20,82
670,Trinidad_and_Tobago,50,82
671,United_States,85,82
672,Other_places_of_birth_in_Americas,90,82
673,Europe,780,82
674,Bosnia_and_Herzegovina,10,82
675,Croatia,0,82
676,France,20,82
677,Germany,40,82
678,Greece,10,82
679,Hungary,10,82
680,Ireland,45,82
681,Italy,10,82
682,Netherlands,20,82
683,Poland,35,82
684,Portugal,260,82
685,Romania,45,82
686,Russian_Federation,15,82
687,Serbia,15,82
688,Ukraine,20,82
689,United_Kingdom,135,82
690,Other_places_of_birth_in_Europe,90,82
691,Africa,150,82
692,Algeria,0,82
693,Egypt,10,82
694,Ethiopia,0,82
695,Kenya,10,82
696,Morocco,0,82
697,Nigeria,0,82
698,Somalia,10,82
699,South_Africa_Republic_of,35,82
700,Other_places_of_birth_in_Africa,80,82
701,Asia,845,82
702,Afghanistan,0,82
703,Bangladesh,15,82
704,China,185,82
705,Hong_Kong,60,82
706,India,100,82
707,Iran,45,82
708,Iraq,0,82
709,Japan,15,82
710,Korea_South,70,82
711,Lebanon,10,82
712,Pakistan,35,82
713,Philippines,130,82
714,Sri_Lanka,0,82
715,Syria,10,82
716,Taiwan,15,82
717,Viet_Nam,40,82
718,Other_places_of_birth_in_Asia,130,82
719,Oceania_and_other_places_of_birth,20,82
720,Total_Immigrant_Population,5235,77
721,Americas,715,77
722,Brazil,65,77
723,Colombia,45,77
724,El_Salvador,0,77
725,Guyana,25,77
726,Haiti,0,77
727,Jamaica,65,77
728,Mexico,35,77
729,Peru,35,77
730,Trinidad_and_Tobago,60,77
731,United_States,200,77
732,Other_places_of_birth_in_Americas,170,77
733,Europe,1310,77
734,Bosnia_and_Herzegovina,40,77
735,Croatia,20,77
736,France,60,77
737,Germany,55,77
738,Greece,35,77
739,Hungary,10,77
740,Ireland,95,77
741,Italy,25,77
742,Netherlands,10,77
743,Poland,90,77
744,Portugal,35,77
745,Romania,90,77
746,Russian_Federation,150,77
747,Serbia,120,77
748,Ukraine,80,77
749,United_Kingdom,270,77
750,Other_places_of_birth_in_Europe,130,77
751,Africa,305,77
752,Algeria,0,77
753,Egypt,30,77
754,Ethiopia,20,77
755,Kenya,30,77
756,Morocco,0,77
757,Nigeria,20,77
758,Somalia,15,77
759,South_Africa_Republic_of,90,77
760,Other_places_of_birth_in_Africa,110,77
761,Asia,2875,77
762,Afghanistan,10,77
763,Bangladesh,20,77
764,China,670,77
765,Hong_Kong,295,77
766,India,330,77
767,Iran,355,77
768,Iraq,15,77
769,Japan,25,77
770,Korea_South,230,77
771,Lebanon,25,77
772,Pakistan,110,77
773,Philippines,210,77
774,Sri_Lanka,25,77
775,Syria,15,77
776,Taiwan,60,77
777,Viet_Nam,70,77
778,Other_places_of_birth_in_Asia,410,77
779,Oceania_and_other_places_of_birth,30,77
780,Total_Immigrant_Population,4340,77
781,Americas,575,77
782,Brazil,55,77
783,Colombia,60,77
784,El_Salvador,10,77
785,Guyana,25,77
786,Haiti,10,77
787,Jamaica,50,77
788,Mexico,50,77
789,Peru,25,77
790,Trinidad_and_Tobago,35,77
791,United_States,105,77
792,Other_places_of_birth_in_Americas,160,77
793,Europe,725,77
794,Bosnia_and_Herzegovina,35,77
795,Croatia,15,77
796,France,45,77
797,Germany,30,77
798,Greece,15,77
799,Hungary,10,77
800,Ireland,35,77
801,Italy,25,77
802,Netherlands,0,77
803,Poland,75,77
804,Portugal,30,77
805,Romania,35,77
806,Russian_Federation,125,77
807,Serbia,25,77
808,Ukraine,25,77
809,United_Kingdom,105,77
810,Other_places_of_birth_in_Europe,80,77
811,Africa,420,77
812,Algeria,10,77
813,Egypt,65,77
814,Ethiopia,45,77
815,Kenya,30,77
816,Morocco,15,77
817,Nigeria,55,77
818,Somalia,55,77
819,South_Africa_Republic_of,15,77
820,Other_places_of_birth_in_Africa,130,77
821,Asia,2585,77
822,Afghanistan,10,77
823,Bangladesh,20,77
824,China,790,77
825,Hong_Kong,235,77
826,India,330,77
827,Iran,265,77
828,Iraq,10,77
829,Japan,40,77
830,Korea_South,110,77
831,Lebanon,40,77
832,Pakistan,150,77
833,Philippines,180,77
834,Sri_Lanka,25,77
835,Syria,25,77
836,Taiwan,50,77
837,Viet_Nam,25,77
838,Other_places_of_birth_in_Asia,290,77
839,Oceania_and_other_places_of_birth,35,77
840,Total_Immigrant_Population,3335,77
841,Americas,390,77
842,Brazil,25,77
843,Colombia,35,77
844,El_Salvador,10,77
845,Guyana,40,77
846,Haiti,0,77
847,Jamaica,20,77
848,Mexico,40,77
849,Peru,15,77
850,Trinidad_and_Tobago,50,77
851,United_States,70,77
852,Other_places_of_birth_in_Americas,85,77
853,Europe,630,77
854,Bosnia_and_Herzegovina,20,77
855,Croatia,25,77
856,France,20,77
857,Germany,25,77
858,Greece,30,77
859,Hungary,20,77
860,Ireland,25,77
861,Italy,15,77
862,Netherlands,0,77
863,Poland,45,77
864,Portugal,20,77
865,Romania,35,77
866,Russian_Federation,80,77
867,Serbia,55,77
868,Ukraine,25,77
869,United_Kingdom,130,77
870,Other_places_of_birth_in_Europe,75,77
871,Africa,175,77
872,Algeria,10,77
873,Egypt,45,77
874,Ethiopia,10,77
875,Kenya,10,77
876,Morocco,0,77
877,Nigeria,20,77
878,Somalia,0,77
879,South_Africa_Republic_of,10,77
880,Other_places_of_birth_in_Africa,75,77
881,Asia,2135,77
882,Afghanistan,10,77
883,Bangladesh,25,77
884,China,470,77
885,Hong_Kong,160,77
886,India,380,77
887,Iran,145,77
888,Iraq,30,77
889,Japan,10,77
890,Korea_South,150,77
891,Lebanon,40,77
892,Pakistan,85,77
893,Philippines,145,77
894,Sri_Lanka,45,77
895,Syria,10,77
896,Taiwan,55,77
897,Viet_Nam,50,77
898,Other_places_of_birth_in_Asia,325,77
899,Oceania_and_other_places_of_birth,10,77
900,Total_Immigrant_Population,2065,77
901,Americas,335,77
902,Brazil,35,77
903,Colombia,30,77
904,El_Salvador,0,77
905,Guyana,20,77
906,Haiti,0,77
907,Jamaica,40,77
908,Mexico,30,77
909,Peru,15,77
910,Trinidad_and_Tobago,30,77
911,United_States,70,77
912,Other_places_of_birth_in_Americas,70,77
913,Europe,580,77
914,Bosnia_and_Herzegovina,0,77
915,Croatia,30,77
916,France,55,77
917,Germany,10,77
918,Greece,20,77
919,Hungary,10,77
920,Ireland,25,77
921,Italy,20,77
922,Netherlands,10,77
923,Poland,50,77
924,Portugal,15,77
925,Romania,40,77
926,Russian_Federation,65,77
927,Serbia,0,77
928,Ukraine,35,77
929,United_Kingdom,145,77
930,Other_places_of_birth_in_Europe,60,77
931,Africa,100,77
932,Algeria,0,77
933,Egypt,25,77
934,Ethiopia,0,77
935,Kenya,15,77
936,Morocco,0,77
937,Nigeria,15,77
938,Somalia,0,77
939,South_Africa_Republic_of,20,77
940,Other_places_of_birth_in_Africa,20,77
941,Asia,1035,77
942,Afghanistan,10,77
943,Bangladesh,20,77
944,China,245,77
945,Hong_Kong,90,77
946,India,270,77
947,Iran,55,77
948,Iraq,20,77
949,Japan,30,77
950,Korea_South,10,77
951,Lebanon,10,77
952,Pakistan,40,77
953,Philippines,45,77
954,Sri_Lanka,15,77
955,Syria,0,77
956,Taiwan,30,77
957,Viet_Nam,15,77
958,Other_places_of_birth_in_Asia,130,77
959,Oceania_and_other_places_of_birth,15,77
960,Total_Immigrant_Population,2250,77
961,Americas,290,77
962,Brazil,10,77
963,Colombia,10,77
964,El_Salvador,10,77
965,Guyana,55,77
966,Haiti,0,77
967,Jamaica,20,77
968,Mexico,30,77
969,Peru,10,77
970,Trinidad_and_Tobago,45,77
971,United_States,40,77
972,Other_places_of_birth_in_Americas,65,77
973,Europe,475,77
974,Bosnia_and_Herzegovina,0,77
975,Croatia,0,77
976,France,20,77
977,Germany,30,77
978,Greece,10,77
979,Hungary,10,77
980,Ireland,25,77
981,Italy,15,77
982,Netherlands,0,77
983,Poland,15,77
984,Portugal,30,77
985,Romania,25,77
986,Russian_Federation,50,77
987,Serbia,10,77
988,Ukraine,40,77
989,United_Kingdom,130,77
990,Other_places_of_birth_in_Europe,65,77
991,Africa,205,77
992,Algeria,10,77
993,Egypt,10,77
994,Ethiopia,60,77
995,Kenya,10,77
996,Morocco,0,77
997,Nigeria,10,77
998,Somalia,0,77
999,South_Africa_Republic_of,20,77
1000,Other_places_of_birth_in_Africa,100,77
1001,Asia,1265,77
1002,Afghanistan,10,77
1003,Bangladesh,0,77
1004,China,220,77
1005,Hong_Kong,125,77
1006,India,215,77
1007,Iran,80,77
1008,Iraq,25,77
1009,Japan,30,77
1010,Korea_South,55,77
1011,Lebanon,45,77
1012,Pakistan,85,77
1013,Philippines,115,77
1014,Sri_Lanka,20,77
1015,Syria,0,77
1016,Taiwan,50,77
1017,Viet_Nam,15,77
1018,Other_places_of_birth_in_Asia,175,77
1019,Oceania_and_other_places_of_birth,20,77
1020,Total_Immigrant_Population,3665,77
1021,Americas,440,77
1022,Brazil,30,77
1023,Colombia,20,77
1024,El_Salvador,15,77
1025,Guyana,10,77
1026,Haiti,0,77
1027,Jamaica,80,77
1028,Mexico,15,77
1029,Peru,10,77
1030,Trinidad_and_Tobago,75,77
1031,United_States,90,77
1032,Other_places_of_birth_in_Americas,95,77
1033,Europe,785,77
1034,Bosnia_and_Herzegovina,10,77
1035,Croatia,10,77
1036,France,10,77
1037,Germany,35,77
1038,Greece,35,77
1039,Hungary,25,77
1040,Ireland,35,77
1041,Italy,30,77
1042,Netherlands,10,77
1043,Poland,30,77
1044,Portugal,20,77
1045,Romania,45,77
1046,Russian_Federation,70,77
1047,Serbia,15,77
1048,Ukraine,45,77
1049,United_Kingdom,285,77
1050,Other_places_of_birth_in_Europe,95,77
1051,Africa,225,77
1052,Algeria,0,77
1053,Egypt,40,77
1054,Ethiopia,0,77
1055,Kenya,35,77
1056,Morocco,0,77
1057,Nigeria,20,77
1058,Somalia,10,77
1059,South_Africa_Republic_of,50,77
1060,Other_places_of_birth_in_Africa,55,77
1061,Asia,2200,77
1062,Afghanistan,0,77
1063,Bangladesh,25,77
1064,China,590,77
1065,Hong_Kong,190,77
1066,India,370,77
1067,Iran,225,77
1068,Iraq,10,77
1069,Japan,25,77
1070,Korea_South,140,77
1071,Lebanon,30,77
1072,Pakistan,130,77
1073,Philippines,85,77
1074,Sri_Lanka,30,77
1075,Syria,30,77
1076,Taiwan,55,77
1077,Viet_Nam,30,77
1078,Other_places_of_birth_in_Asia,225,77
1079,Oceania_and_other_places_of_birth,15,77
1080,Total_Immigrant_Population,425,76
1081,Americas,50,76
1082,Brazil,0,76
1083,Colombia,0,76
1084,El_Salvador,0,76
1085,Guyana,0,76
1086,Haiti,0,76
1087,Jamaica,0,76
1088,Mexico,10,76
1089,Peru,10,76
1090,Trinidad_and_Tobago,0,76
1091,United_States,20,76
1092,Other_places_of_birth_in_Americas,10,76
1093,Europe,70,76
1094,Bosnia_and_Herzegovina,0,76
1095,Croatia,0,76
1096,France,0,76
